,series,SpeciesID,SamplePurpose,Latitude,Longitude,Easting,Northing,Elevation,Patch_loc
276,SNS77,QUGA,AGE,35.98236483,-106.863822,331971.5058,3983598.506,2625.399902,Interior
277,SNS78,PIPO,FireScar,35.98227,-106.863864,331967.5178,3983588.059,2620.399902,Interior
278,SNS79,QUGA,AGE,35.97984117,-106.8619843,332131.8504,3983315.384,2596.899902,Interior
279,SNS80,PIPO,DD,35.979783,-106.8620673,332124.2434,3983309.074,2588.5,Interior
280,SNS81,QUGA,AGE,35.97984117,-106.8619843,332131.8504,3983315.384,2596.899902,Interior
281,SPC01,QUGA,AGE,35.96793667,-106.8478742,333379.0646,3981970.585,2766.100098,Edge
282,SPC02,QUGA,AGE,35.96793667,-106.8478742,333379.0646,3981970.585,2766.100098,Edge
283,SPC03,PIPO,FireScar,35.9683195,-106.8480325,333365.5941,3982013.324,2771.699951,Exterior
284,SPC04,PIPO,FireScar,35.96876967,-106.8481273,333357.9916,3982063.424,2769.5,Exterior
285,SPC05,PIPO,FireScar,35.96785767,-106.8469427,333462.9001,3981960.23,2784.199951,Edge
286,SPC06,PIPO,DD,35.9673455,-106.8448047,333654.6276,3981899.765,2784,Edge
287,SPC07,PIPO,FireScar,35.967324,-106.8448223,333652.9953,3981897.41,2790.699951,Edge
288,SPC08,QUGA,AGE,35.96741967,-106.8449428,333642.3295,3981908.228,2793.699951,Edge
289,SPC09,QUGA,AGE,35.96741967,-106.8449428,333642.3295,3981908.228,2793.699951,Edge
290,SPC10,PIPO,FireScar,35.96775683,-106.8443548,333696.0623,3981944.627,2797.300049,Edge
291,SPC11,QUGA,AGE,35.96727067,-106.8433665,333784.1667,3981889.011,2768.300049,Interior
292,SPC12,QUGA,AGE,35.96727067,-106.8433665,333784.1667,3981889.011,2768.300049,Interior
293,SPC13,POTR,AGE,35.96727067,-106.8433665,333784.1667,3981889.011,2768.300049,Interior
294,SPC14,POTR,AGE,35.96727067,-106.8433665,333784.1667,3981889.011,2768.300049,Interior
295,SPC15,POTR,FireScar,35.96732883,-106.843377,333783.3417,3981895.481,2771.899902,Interior
296,SPC16,PIPO,FireScar,35.9672245,-106.8425638,333856.4569,3981882.522,2792.199951,Edge
297,SPC17,PIST,FireScar,35.96711967,-106.8422822,333881.6318,3981870.413,2788.399902,Edge
298,SPC18,PIPO,DD,35.9670585,-106.8421585,333892.6588,3981863.416,2786.5,Edge
299,SPC19,QUGA,AGE,35.9659725,-106.8416068,333940.1359,3981742.005,2750.100098,Interior
300,SPC20,QUGA,AGE,35.9659725,-106.8416068,333940.1359,3981742.005,2750.100098,Interior
301,SPC21,QUGA,AGE,35.9657615,-106.8427855,333833.3974,3981720.606,2706.800049,Interior
302,SPC22,QUGA,AGE,35.9657615,-106.8427855,333833.3974,3981720.606,2706.800049,Interior
303,SPC23,QUGA,FireScar,35.96496667,-106.8437558,333744.2277,3981634.088,2660.199951,Interior
304,SPC24,PIPO,Chron,35.9646145,-106.8454435,333591.2881,3981597.899,2641.300049,Interior
305,SPC25,PIED,Chron,35.9647735,-106.8456338,333574.4602,3981615.862,2652,Interior
306,SPC26,PIPO,FireScar,35.96468667,-106.845728,333565.7827,3981606.391,2652.300049,Interior
307,SPC27,QUGA,AGE,35.9647725,-106.8459908,333542.263,3981616.361,2659.899902,Interior
308,SPC28,QUGA,AGE,35.9647725,-106.8459908,333542.263,3981616.361,2659.899902,Interior
309,SPC29,QUGA,AGE,35.9647725,-106.8459908,333542.263,3981616.361,2659.899902,Interior
310,SPC30,QUGA,AGE,35.9647725,-106.8459908,333542.263,3981616.361,2659.899902,Interior
311,SPC31,QUGA,AGE,35.96741967,-106.8449428,333642.3295,3981908.228,2793.699951,Interior
312,SPC32,PIPO,FireScar,35.96603017,-106.8459623,333547.474,3981755.828,2683.699951,Interior
313,SPC33,QUGA,AGE,35.96409567,-106.8480997,333350.6547,3981544.881,2609,Interior
314,SPC34,QUGA,AGE,35.96409567,-106.8480997,333350.6547,3981544.881,2609,Interior
315,SPC35,QUGA,AGE,35.96409567,-106.8480997,333350.6547,3981544.881,2609,Interior
316,SPC36,PIED,AGE,35.96508083,-106.8503752,333147.5164,3981658.058,2612.800049,Interior
317,SPC37,QUGA,AGE,35.96508083,-106.8503752,333147.5164,3981658.058,2612.800049,Interior
318,SPC38,QUGA,AGE,35.96508083,-106.8503752,333147.5164,3981658.058,2612.800049,Interior
319,SPC39,PI SPP,DD,35.96557167,-106.8503265,333152.9413,3981712.424,2634.899902,Interior
320,SPC50,QUGA,AGE,35.96837933,-106.851124,333086.9337,3982025.249,2753.199951,Edge
321,SPC51,QUGA,AGE,35.96837933,-106.851124,333086.9337,3982025.249,2753.199951,Edge
322,SPC52,POTR,AGE,35.96837933,-106.851124,333086.9337,3982025.249,2753.199951,Interior
323,SPC53,QUGA,AGE,35.9679425,-106.8505882,333134.3316,3981975.873,2740.5,Interior
324,SPC54,QUGA,AGE,35.9679425,-106.8505882,333134.3316,3981975.873,2740.5,Interior
325,SPC55,QUGA,AGE,35.9669915,-106.8497507,333207.8553,3981868.944,2701.099854,Interior
326,SPC56,QUGA,AGE,35.9669915,-106.8497507,333207.8553,3981868.944,2701.099854,Interior
327,SPC57,ABCO,Chron,35.96712367,-106.8498757,333196.8609,3981883.819,2709.099854,Interior
328,SPC58,PIPO,AGE,35.9654565,-106.8508203,333108.1672,3981700.493,2613.299805,Interior
329,SPC59,QUGA,AGE,35.9654565,-106.8508203,333108.1672,3981700.493,2613.299805,Interior
330,SPC60,QUGA,AGE,35.9654565,-106.8508203,333108.1672,3981700.493,2613.299805,Interior
331,SPC61,QUGA,AGE,35.9654565,-106.8508203,333108.1672,3981700.493,2613.299805,Interior
332,SPC62,PIPO,AGE,35.9649115,-106.8528903,332920.3426,3981643.58,2588.899902,Interior
333,SPC63,QUGA,AGE,35.9649115,-106.8528903,332920.3426,3981643.58,2588.899902,Interior
334,SPC64,QUGA,AGE,35.9649115,-106.8528903,332920.3426,3981643.58,2588.899902,Interior
335,SPC65,PIPO,AGE,35.9649115,-106.8528903,332920.3426,3981643.58,2588.899902,Interior
336,SPC66,PIPO,AGE,35.96525133,-106.8545493,332771.447,3981684.122,2618.399902,Interior
337,SPC67,QUGA,AGE,35.96525133,-106.8545493,332771.447,3981684.122,2618.399902,Interior
338,SPC68,QUGA,AGE,35.96525133,-106.8545493,332771.447,3981684.122,2618.399902,Interior
339,SPC69,QUGA,AGE,35.96525133,-106.8545493,332771.447,3981684.122,2618.399902,Interior
340,SPC70,QUGA,Chron,35.9643625,-106.8554035,332692.5378,3981586.987,2608.099854,Interior
341,SPC71,PIPO,GC,35.96434783,-106.855455,332687.8624,3981585.448,2611.799805,Interior
342,SPC72,PIPO,DD,35.96357483,-106.8545442,332768.3704,3981498.135,2570.799805,Interior
343,SPC73,PIPO,DD,35.9636955,-106.8547702,332748.2435,3981511.909,2573,Interior
344,SPC74,PIPO,DD,35.96379917,-106.8548552,332740.7966,3981523.555,2575.399902,Interior
345,SPC75,PIPO,DD,35.96331633,-106.8567917,332565.1363,3981473.316,2601.599854,Interior
346,SPC76,PIPO,FireScar,35.9634885,-106.8592407,332344.6393,3981496.623,2711.599854,Exterior
