,series,SpeciesID,SamplePurpose,Latitude,Longitude,Easting,Northing,Elevation,Patch_loc
70,PGM39,PIPO,FS,35.721229,-106.796412,337517.2128,3954516.833,2311.219482,Exterior
71,PGM4,QUGA,DD,35.723993,-106.795422,337612.3776,3954821.796,2288.520264,Edge
72,PGM40,PIPO,DD,35.722477,-106.796107,337547.337,3954654.765,2298.864746,Interior
73,PGM41,PIPO,DD,35.722473,-106.796083,337549.4999,3954654.281,2299.713379,Interior
74,PGM42,QUGA,AGE,35.722677,-106.796033,337554.437,3954676.828,2297.010498,Interior
75,PGM43,QUGA,AGE,35.722677,-106.796033,337554.437,3954676.828,2297.010498,Interior
76,PGM44,QUGA,AGE,35.722831,-106.794998,337648.3719,3954692.197,2280.291016,Interior
77,PGM45,QUGA,AGE,35.722831,-106.794998,337648.3719,3954692.197,2280.291016,Interior
78,PGM5,PIPO,DD,35.723982,-106.795458,337609.0989,3954820.635,2288.864746,Edge
79,PGM6,PIPO,FS,35.72417,-106.795475,337607.9429,3954841.518,2286.700439,Edge
80,PGM7,PIPO,GC,35.723762,-106.795148,337636.6933,3954795.718,2289.906982,Edge
81,PGM8,PIPO,GC,35.7239,-106.795259,337626.933,3954811.21,2288.654541,Edge
82,PGM9,QUGA,FS,35.724234,-106.795521,337603.9119,3954848.693,2286.273682,Edge
83,RDC01,PIPO,GC,35.87770167,-106.5907487,356402.7378,3971552.342,2700.100098,Edge
84,RDC02,PIPO,Chron,35.8777265,-106.590791,356398.9639,3971555.159,2700.700195,Edge
85,RDC03,PIPO,GC,35.873797,-106.5951512,355998.2222,3971125.691,2665.5,Interior
86,RDC04,PIPO,GC,35.87376567,-106.5950195,356010.0556,3971122.022,2656.900146,Interior
87,RDC05,QUGA,AGE,35.87376383,-106.5952462,355989.5854,3971122.151,2660.200195,Interior
88,RDC06,QUGA,AGE,35.87376383,-106.5952462,355989.5854,3971122.151,2660.200195,Interior
89,RDC07,PIPO,FireScar,35.879997,-106.588715,356590.474,3971803.968,2630.451904,Exterior
90,RDC08,PIST,FireScar,35.880315,-106.588956,356569.2912,3971839.596,2652.671387,Exterior
91,RDC09,PIPO,FireScar,35.880306,-106.589504,356519.8045,3971839.402,2661.605469,Exterior
92,RDC10,PIPO,FireScar,35.880349,-106.589571,356513.8337,3971844.27,2664.821533,Exterior
93,RDC11,PIPO,FireScar,35.880421,-106.58952,356518.5676,3971852.182,2668.037109,Exterior
94,RDC12,QUGA,AGE,35.877965,-106.589856,356483.8038,3971580.241,2689.149414,Interior
95,RDC13,QUGA,AGE,35.877965,-106.589856,356483.8038,3971580.241,2689.149414,Interior
96,RDC14,QUGA,AGE,35.877965,-106.589856,356483.8038,3971580.241,2689.149414,Interior
97,RDC15,QUGA,AGE,35.877965,-106.589856,356483.8038,3971580.241,2689.149414,Interior
98,RDC16,PIPO,FireScar,35.877854,-106.590435,356431.3329,3971568.779,2710.861084,Edge
99,RDC17,PIPO,DD,35.877678,-106.59059,356417.0222,3971549.484,2713.301025,Edge
100,RDC18,PIPO,DD,35.877377,-106.59046,356428.2149,3971515.904,2692.583496,Interior
101,RDC19,PIPO,FireScar,35.877361,-106.590403,356433.3319,3971514.045,2689.659668,Interior
102,RDC20,PIPO,FireScar,35.877373,-106.590253,356446.8952,3971515.156,2687.215576,Interior
103,RDC21,QUGA,AGE,35.877259,-106.590361,356436.9395,3971502.669,2682.963379,Interior
104,RDC22,QUGA,AGE,35.877259,-106.590361,356436.9395,3971502.669,2682.963379,Interior
105,RDC23,QUGA,AGE,35.877259,-106.590361,356436.9395,3971502.669,2682.963379,Interior
106,RDC24,QUGA,AGE,35.877259,-106.590361,356436.9395,3971502.669,2682.963379,Interior
107,RDC25,PIPO,FireScar,35.877171,-106.589781,356489.142,3971492.056,2659.857666,Interior
108,RDC26,PIPO,GC,35.877176,-106.589752,356491.7691,3971492.568,2654.626709,Interior
109,RDC27,QUGA,AGE,35.876105,-106.586906,356746.7718,3971369.591,2607.026367,Interior
110,RDC28,QUGA,AGE,35.876105,-106.586906,356746.7718,3971369.591,2607.026367,Interior
111,RDC29,QUGA,AGE,35.876105,-106.586906,356746.7718,3971369.591,2607.026367,Interior
112,RDC30,PIPO,GC,35.87494,-106.58667,356765.98,3971240.017,2633.715332,Edge
113,RDC31,PIPO,GC,35.875152,-106.586155,356812.8561,3971262.778,2664.377197,Edge
